Year,Country,Temperature,SeaLevel,AgriculturalYield,,
1990,AUS,1.36,14.1,8.31,,
1991,AUS,1.32,14.2,8.39,,
1992,AUS,2.24,15.1,8.09,,
1993,AUS,2.1,15.2,8.34,,
1994,AUS,1.37,16.1,8.54,,
1995,AUS,1.33,16.2,7.05,,
1996,AUS,1.4,17.1,8.26,,
1997,AUS,1.37,17.2,9.01,,
1998,AUS,1.6,18.1,9.2,,
1999,AUS,1.34,18.2,8.27,,
2000,AUS,1.3,19.1,9.28,,
2001,AUS,1.29,19.2,8.28,,
2002,AUS,1.76,20.1,9.32,,
2003,AUS,1.8,20.2,8.38,,
2004,AUS,1.6,21.1,6.65,,
2005,AUS,1.87,21.2,9.83,,
2006,AUS,1.5,22.1,8.15,,
2007,AUS,1.32,22.2,8.5,,
2008,AUS,1.43,23.1,8.46,,
2009,AUS,1.56,23.2,10.39,,
2010,AUS,1.39,24.1,9.54,,
2011,AUS,1.45,24.2,8.91,,
2012,AUS,1.5,25.1,10.28,,
2013,AUS,1.66,25.2,10.94,,
2014,AUS,2.13,26.1,7.28,,
2015,AUS,1.39,26.2,9.39,,
2016,AUS,2.61,27.1,9.46,,
2017,AUS,2.06,27.2,9.53,,
2018,AUS,2.34,28.1,9.6,,
2019,AUS,1.8,28.2,9.67,,
2020,AUS,1.94,29.1,9.74,,
2021,AUS,1.81,29.2,9.81,,
2022,AUS,1.89,30.1,9.88,,
2023,AUS,1.38,30.2,9.95,,
2024,AUS,1.41,31.1,10.01,,
2025,AUS,1.35,31.2,10.08,,
2026,AUS,1.32,32.1,1.63,,
2027,AUS,1.63,32.2,1.47,,
2028,AUS,1.92,33.1,1.78,,
2029,AUS,1.46,33.2,1.97,,
2030,AUS,1.65,34.1,1.14,,
2031,AUS,1.38,34.2,1.79,,
2032,AUS,1.52,35.1,2.1,,
2033,AUS,1.33,35.2,1.84,,
2034,AUS,1.73,36.1,1.86,,
2035,AUS,1.43,36.2,2.03,,
2036,AUS,1.46,37.1,1.82,,
2037,AUS,1.42,37.2,2.11,,
2038,AUS,1.36,38.1,0.91,,
2039,AUS,1.56,38.2,2,,
2040,AUS,1.85,39.1,1.63,,
2041,AUS,1.38,39.2,2.02,,
2042,AUS,1.8,40.1,0.92,,
2043,AUS,2.24,40.2,1.08,,
2044,AUS,1.48,41.1,1.58,,
2045,AUS,1.48,41.2,1.57,,
2046,AUS,1.41,42.1,2.03,,
2047,AUS,1.3,42.2,2.15,,
2048,AUS,1.56,43.1,1.76,,
2049,AUS,1.61,43.2,2.01,,
2050,AUS,1.43,44.1,1.71,,
2051,AUS,1.85,44.2,1.74,,
2052,AUS,1.94,45.1,1.79,,
2053,AUS,1.35,45.2,1.82,,
2054,AUS,1.41,46.1,1.84,,
2055,AUS,1.71,46.2,1.85,,
2056,AUS,1.39,47.1,1.87,,
2057,AUS,1.61,47.2,1.88,,
2058,AUS,1.33,48.1,1.9,,
2059,AUS,1.49,48.2,1.91,,
2060,AUS,1.33,49.1,1.93,,
1990,CAN,1.42,50.1,0,,
1991,CAN,1.37,50.2,0,,
1992,CAN,1.87,51.1,0,,
1993,CAN,1.61,51.2,0,,
1994,CAN,1.31,52.1,0,,
1995,CAN,1.4,52.2,0,,
1996,CAN,1.67,53.1,0,,
1997,CAN,1.29,53.2,0,,
1998,CAN,1.31,54.1,0,,
1999,CAN,1.41,54.2,0,,
2000,CAN,1.48,55.1,0,,
2001,CAN,1.3,55.2,0,,
2002,CAN,1.51,56.1,0,,
2003,CAN,2.16,56.2,0,,
2004,CAN,1.81,57.1,0,,
2005,CAN,1.38,57.2,0,,
2006,CAN,1.49,58.1,0,,
2007,CAN,1.58,58.2,0,,
2008,CAN,2.09,59.1,0,,
2009,CAN,1.65,59.2,0,,
2010,CAN,1.46,60.1,0,,
2011,CAN,1.4,60.2,0,,
2012,CAN,1.58,61.1,0,,
2013,CAN,1.33,61.2,0,,
2014,CAN,1.44,62.1,0,,
2015,CAN,1.36,62.2,0,,
2016,CAN,1.46,63.1,0,,
2017,CAN,1.59,63.2,0,,
2018,CAN,1.69,64.1,0,,
2019,CAN,1.36,64.2,0,,
2020,CAN,1.39,65.1,0,,
2021,CAN,1.5,65.2,0,,
2022,CAN,1.5,66.1,0,,
2023,CAN,1.44,66.2,0,,
2024,CAN,1.35,67.1,0,,
2025,CAN,1.35,67.2,0,,
2026,CAN,1.4,68.1,2.28,,
2027,CAN,1.37,68.2,2.26,,
2028,CAN,1.48,69.1,2.16,,
2029,CAN,1.44,69.2,2.2,,
2030,CAN,1.62,70.1,2.13,,
2031,CAN,1.52,70.2,2.25,,
2032,CAN,1.38,71.1,2.43,,
2033,CAN,2.36,71.2,2.13,,
2034,CAN,1.58,72.1,2.25,,
2035,CAN,1.69,72.2,2.6,,
2036,CAN,1.35,73.1,2.44,,
2037,CAN,1.36,73.2,1.95,,
2038,CAN,1.32,74.1,1.83,,
2039,CAN,1.58,74.2,2.26,,
2040,CAN,1.83,75.1,2.64,,
2041,CAN,1.36,75.2,2.74,,
2042,CAN,1.55,76.1,2.61,,
2043,CAN,1.65,76.2,2.33,,
2044,CAN,1.4,77.1,2.86,,
2045,CAN,1.59,77.2,2.79,,
2046,CAN,1.3,78.1,2.81,,
2047,CAN,1.32,78.2,2.96,,
2048,CAN,1.36,79.1,2.86,,
2049,CAN,1.98,79.2,3.59,,
2050,CAN,1.35,80.1,3.1,,
2051,CAN,1.39,80.2,2.88,,
2052,CAN,1.29,81.1,3.02,,
2053,CAN,1.44,81.2,3.03,,
2054,CAN,1.53,82.1,3.05,,
2055,CAN,1.35,82.2,3.06,,
2056,CAN,1.6,83.1,3.08,,
2057,CAN,1.47,83.2,3.1,,
2058,CAN,1.36,84.1,3.12,,
2059,CAN,1.4,84.2,3.13,,
2060,CAN,1.33,85.1,3.15,,
1990,JPN,1.33,86.1,4.59,,
1991,JPN,1.35,86.2,4.25,,
1992,JPN,2.26,87.1,4.55,,
1993,JPN,2.02,87.2,3.32,,
1994,JPN,1.53,88.1,4.91,,
1995,JPN,1.35,88.2,4.6,,
1996,JPN,1.68,89.1,4.74,,
1997,JPN,1.63,89.1,4.65,,
1998,JPN,1.37,89.1,4.51,,
1999,JPN,1.44,89.1,4.65,,
2000,JPN,1.29,89.1,4.86,,
2001,JPN,,4.05,4.81,,89.1
2002,JPN,,4.07,4.77,,
2003,JPN,,4.09,4.24,,
2004,JPN,,4.11,4.65,,
2005,JPN,1.483,4.13,4.82,,
2006,JPN,1.544,4.16,4.59,,
2007,JPN,1.339,4.18,4.72,,
2008,JPN,1.952,4.51,4.91,,
2009,JPN,2.183,4.46,4.73,,
2010,JPN,1.924,4.61,4.76,,
2011,JPN,2.085,4.18,4.92,,
2012,JPN,1.36,4.59,4.98,,
2013,JPN,1.341,4.45,4.94,,
2014,JPN,1.493,5.07,4.96,,
2015,JPN,1.323,5.18,5.23,,
2016,JPN,1.452,4.81,5,,
2017,JPN,1.757,4.94,5.02,,
2018,JPN,1.349,89.1,5.04,,
2019,JPN,1.342,89.1,5.06,,
2020,JPN,1.284,89.1,5.08,,
2021,JPN,1.258,89.1,5.09,,
2022,JPN,1.775,89.1,5.11,,
2023,JPN,1.411,89.1,5.13,,
2024,JPN,1.359,4.92,5.15,,
2025,JPN,1.7,4.98,5.17,,
2025,JPN,1.285,4.94,3.66,,
2026,JPN,2.1,4.96,3.18,,
2027,JPN,1.742,5.23,3.54,,
2028,JPN,1.477,5,3.47,,
2029,JPN,1.394,5.02,3.72,,
2030,JPN,2.135,5.04,2.93,,
2031,JPN,1.43,5.06,3.02,,
2032,JPN,1.718,5.08,3.64,,
2033,JPN,1.251,5.09,3.51,,
2034,JPN,1.305,5.11,3.45,,
2035,JPN,1.302,5.13,3.76,,
2036,JPN,1.357,5.15,3.56,,
2037,JPN,1.265,5.17,4.01,,
2038,JPN,1.718,3.66,4.03,,
2039,JPN,1.381,3.18,4.04,,
2040,JPN,1.546,3.54,4.09,,
2041,JPN,1.469,3.47,3.84,,
2042,JPN,1.309,3.72,4.33,,
2043,JPN,1.364,2.93,4.22,,
2044,JPN,1.397,3.02,3.24,,
2045,JPN,1.396,3.64,2.76,,
2046,JPN,1.318,3.51,3.53,,
2047,JPN,1.269,89.1,4.1,,
2048,JPN,1.251,89.1,3.86,,
2049,JPN,1.291,89.1,4.01,,
2050,JPN,1.639,89.1,4,,
2051,JPN,1.401,89.1,3.99,,
2052,JPN,1.41,89.1,4.01,,
2053,JPN,1.936,89.1,4.03,,
2054,JPN,2.338,89.1,4.05,,
2055,JPN,1.28,89.1,4.07,,
2056,JPN,1.328,89.1,4.09,,
2057,JPN,1.324,89.1,4.11,,
2058,JPN,1.648,89.1,4.13,,
2059,JPN,1.637,89.1,4.16,,
2060,JPN,2.184,89.1,4.18,,
1990,KOR,2.156,89.1,4.51,,
1991,KOR,1.419,89.1,4.46,,
1992,KOR,1.486,89.1,4.61,,
1993,KOR,1.929,89.1,4.18,,
1994,KOR,2.056,89.1,4.59,,
1995,KOR,1.927,89.1,4.45,,
1996,KOR,1.476,89.1,5.07,,
1997,KOR,1.364,89.1,5.18,,
1998,KOR,1.339,89.1,4.81,,
1999,KOR,1.593,89.1,4.94,,
2000,KOR,1.443,89.1,4.93,,
2001,KOR,1.358,89.1,5.09,,
2002,KOR,1.543,89.1,4.68,,
2003,KOR,1.531,89.1,4.38,,
2004,KOR,1.5,89.1,4.99,,
2005,KOR,1.581,89.1,4.87,,
2006,KOR,1.842,89.1,4.9,,
2007,KOR,1.502,89.1,4.64,,
2008,KOR,1.477,89.1,5.18,,
2009,KOR,1.505,89.1,5.32,,
2010,KOR,,89.1,4.82,,
2011,KOR,1.454,89.1,4.95,,
2012,KOR,1.69,89.1,4.72,,
2013,KOR,1.286,89.1,5.08,,
2014,KOR,1.544,89.1,5.2,,
2015,KOR,1.556,89.1,5.41,,
2016,KOR,1.295,89.1,5.1,,
2017,KOR,0.824,89.1,5.15,,
2018,KOR,0.938,89.1,5.2,,
2019,KOR,1.006,89.1,5.26,,
2020,KOR,3.012,89.1,5.31,,
2021,KOR,0.988,89.1,5.36,,
2022,KOR,2.884,89.1,5.41,,
2023,KOR,1.437,89.1,5.46,,
2024,KOR,2.534,89.1,5.51,,
2025,KOR,1.365,89.1,5.57,,
1990,KOR,2.806,89.1,3.02,,
1991,KOR,2.336,89.1,3.1,,
1992,KOR,5.413,89.1,3.37,,
1993,KOR,2.036,89.1,2.71,,
1994,KOR,2.69,89.1,3.7,,
1995,KOR,3.476,89.1,4.44,,
1996,KOR,1.618,89.1,3.92,,
1997,KOR,2.095,89.1,4.04,,
1998,KOR,1.627,89.1,3.48,,
1999,KOR,1.186,89.1,3.67,,
2000,KOR,1.012,89.1,2.55,,
2001,KOR,0.813,89.1,3.1,,
2002,KOR,1.43,89.1,3.23,,
2003,KOR,1.411,89.1,3.05,,
2004,KOR,1.025,89.1,3.33,,
2005,KOR,2.107,89.1,3.21,,
2006,KOR,1.978,89.1,3.34,,
2007,KOR,0.927,89.1,3.81,,
2008,KOR,1.675,89.1,4.06,,
2009,KOR,0.87,89.1,3.71,,
2010,KOR,0.818,89.1,3.12,,
2011,KOR,1.095,89.1,3.35,,
2012,KOR,2.153,89.1,3.91,,
2013,KOR,2.784,89.1,2.59,,
2014,KOR,0.915,89.1,3.26,,
2015,KOR,1.685,89.1,3.24,,
2016,KOR,1.241,89.1,3.29,,
2017,KOR,1.877,89.1,3.33,,
2018,KOR,0.944,89.1,3.37,,
2019,KOR,1.016,89.1,3.41,,
2020,KOR,0.979,89.1,3.45,,
2021,KOR,0.954,89.1,3.49,,
2022,KOR,3.454,89.1,3.52,,
2023,KOR,2.979,89.1,3.56,,
2024,KOR,0.929,89.1,3.59,,
2025,KOR,1.527,89.1,3.62,,
1990,MEX,0.858,89.1,2.67,,
1991,MEX,1.894,89.1,2.71,,
1992,MEX,1.81,89.1,2.86,,
1993,MEX,1.209,89.1,3.22,,
1994,MEX,0.916,89.1,2.81,,
1995,MEX,0.844,89.1,3.09,,
1996,MEX,1.524,89.1,3,,
1997,MEX,0.8,89.1,2.73,,
1998,MEX,0.837,89.1,2.98,,
1999,MEX,0.894,89.1,2.91,,
2000,MEX,1.018,89.1,2.97,,
2001,MEX,0.635,89.1,4.26,,
2002,MEX,0.456,89.1,4.5,,
2003,MEX,0.69,89.1,4.55,,
2004,MEX,1.033,89.1,4.46,,
2005,MEX,0.788,89.1,5.07,,
2006,MEX,1.512,89.1,3.15,,
2007,MEX,0.583,89.1,2.73,,
2008,MEX,0.882,89.1,2.94,,
2009,MEX,1.927,89.1,3.19,,
2010,MEX,0.863,89.1,3.42,,
2011,MEX,0.515,89.1,3.35,,
2012,MEX,0.677,89.1,3.7,,
2013,MEX,1.358,89.1,3.57,,
2014,MEX,0.812,89.1,3.76,,
2015,MEX,0.667,89.1,3.61,,
2016,MEX,0.776,89.1,3.66,,
2017,MEX,0.942,89.1,3.71,,
2018,MEX,1.24,89.1,3.76,,
2019,MEX,0.828,89.1,3.81,,
2020,MEX,0.599,89.1,3.86,,
2021,MEX,0.598,89.1,3.92,,
2022,MEX,0.582,89.1,3.97,,
2023,MEX,1.318,89.1,4.02,,
2024,MEX,1.181,89.1,4.08,,
2025,MEX,1.043,89.1,4.13,,
1990,MEX,0.877,89.1,4.21,,
1991,MEX,0.6,89.1,4.13,,
1992,MEX,0.756,89.1,3.95,,
1993,MEX,0.935,89.1,4.08,,
1994,MEX,0.771,89.1,4.3,,
1995,MEX,0.862,89.1,3.73,,
1996,MEX,1.081,89.1,4.17,,
1997,MEX,0.915,89.1,4.73,,
1998,MEX,0.725,89.1,4.21,,
1999,MEX,1.053,89.1,4.63,,
2000,MEX,1.703,89.1,4.94,,
2001,MEX,1.275,89.1,4.77,,
2002,MEX,0.954,89.1,5.1,,
2003,MEX,1.228,89.1,4.49,,
2004,MEX,0.77,89.1,4.48,,
2005,MEX,0.761,89.1,4.75,,
